crop_id,pest_disease,trigger_temp_min_c,trigger_temp_max_c,trigger_rainfall_min_mm,trigger_humidity_hint,severity,description,management
rice,Blast,22,30,800,high,high,Rice blast fungus thrives in warm humid conditions with heavy dew,Use blast-resistant varieties; apply Tricyclazole 75WP at 0.6g/L
rice,Brown Plant Hopper,25,35,700,high,high,BPH outbreaks common in flooded paddies with high nitrogen,Avoid excess N fertilizer; alternate wetting-drying irrigation
rice,Sheath Blight,25,32,600,high,medium,Rhizoctonia favors warm humid canopy with dense planting,Maintain wider spacing; apply Hexaconazole 5EC
wheat,Yellow Rust,10,20,300,moderate,high,Stripe rust spores spread in cool wet conditions via wind,Apply Propiconazole 25EC at first symptom; use resistant varieties
wheat,Aphids,15,25,200,low,medium,Wheat aphids spike in dry warm weather during ear-head stage,Spray Dimethoate 30EC at 1.5ml/L if >10 aphids per ear
maize,Fall Armyworm,20,35,400,moderate,high,FAW larvae attack whorl stage maize in warm rainy conditions,Apply Emamectin Benzoate 5SG at 0.4g/L; early detection critical
maize,Stem Borer,22,34,500,moderate,medium,Chilo partellus attacks stems during vegetative growth,Release Trichogramma egg parasitoids; dead-heart scouting
cotton,Bollworm,25,38,400,moderate,high,Helicoverpa armigera causes heavy yield loss in fruiting stage,Install pheromone traps; spray Spinosad 45SC at critical windows
cotton,Whitefly,28,40,300,low,high,Bemisia tabaci transmits leaf curl virus in hot dry spells,Yellow sticky traps; neem oil 0.3% spray; avoid excess nitrogen
pulses,Pod Borer,22,32,350,moderate,high,Helicoverpa attacks flowering/podding stage chickpea and tur,NSKE 5% spray at 50% flowering; HaNPV bio-control
pulses,Wilt,20,30,400,high,high,Fusarium wilt in chickpea favored by waterlogged soils,Use wilt-resistant varieties; avoid waterlogging; seed treatment with Trichoderma
groundnut,Tikka Disease,24,32,500,high,medium,Cercospora leaf spot in warm humid weather reduces photosynthesis,Spray Mancozeb 75WP at 2.5g/L at 30-35 DAS and repeat at 15-day interval
groundnut,White Grub,22,30,600,moderate,medium,Soil grubs damage pods in sandy soils after monsoon onset,Deep summer ploughing; Chlorpyrifos 20EC soil drench before sowing
soybean,Girdle Beetle,24,34,500,moderate,medium,Obereopsis brevis girdles stems causing breakage in vegetative stage,Spray Thiamethoxam 25WG at 0.3g/L at 20-25 DAS
soybean,Yellow Mosaic,25,35,400,moderate,high,Whitefly-transmitted virus causes yellowing and yield loss,Control whitefly vector; use resistant varieties (JS 335)
sugarcane,Early Shoot Borer,28,38,600,moderate,high,Chilo infuscatellus kills growing points causing dead-hearts,Trash mulching; release Trichogramma; Chlorantraniliprole application
sugarcane,Red Rot,25,35,800,high,high,Colletotrichum falcatum enters through borers in warm wet fields,Use disease-free setts; hot water treatment of seed cane at 54C for 30min
tomato,Early Blight,22,30,500,high,high,Alternaria solani causes concentric leaf spots in warm humid weather,Rotate with non-solanaceous crops; spray Mancozeb 75WP at 2g/L
tomato,Fruit Borer,24,34,400,moderate,high,Helicoverpa armigera bores into fruits causing rot,Install pheromone traps at 5/acre; spray Spinosad 45SC at 0.3ml/L
chilli,Thrips,25,35,300,low,high,Scirtothrips dorsalis causes leaf curl and flower drop in dry weather,Spray Spinosad 45SC at 0.3ml/L; yellow/blue sticky traps
chilli,Fruit Rot,22,32,600,high,high,Colletotrichum anthracnose causes dark sunken spots on ripe fruit,Copper oxychloride 3g/L; avoid overhead irrigation; resistant varieties
turmeric,Rhizome Rot,25,32,800,high,high,Pythium aphanidermatum rots rhizomes in waterlogged fields,Well-drained beds; Trichoderma seed treatment; Metalaxyl drench
ginger,Soft Rot,25,32,900,high,high,Pythium myriotylum causes yellowing and rhizome decay,Raised beds; Bordeaux mixture 1% drench; certified disease-free seed
banana,Sigatoka Leaf Spot,24,32,900,high,high,Mycosphaerella fijiensis causes necrotic streaks reducing yield,Remove infected leaves; spray Propiconazole 25EC at 0.1%
