region_id,season,year,rainfall_mm,avg_temp_c,min_temp_c,max_temp_c
telangana_medak,kharif,2022,721,25.7,23.6,38.0
telangana_medak,rabi,2022,142,18.5,9.4,23.7
telangana_medak,kharif,2023,610,28.7,20.7,33.1
telangana_medak,rabi,2023,155,21.9,8.8,24.0
telangana_medak,kharif,2024,669,27.9,24.0,38.0
telangana_medak,rabi,2024,56,16.1,10.9,23.2
mp_sehore,kharif,2022,933,25.4,23.8,32.6
mp_sehore,rabi,2022,78,15.9,11.6,23.9
mp_sehore,kharif,2023,664,28.2,21.7,35.7
mp_sehore,rabi,2023,137,16.2,5.6,26.8
mp_sehore,kharif,2024,733,27.3,22.8,37.1
mp_sehore,rabi,2024,148,17.3,9.5,25.8
punjab_ludhiana,kharif,2022,894,28.8,21.6,33.6
punjab_ludhiana,rabi,2022,132,18.2,9.6,22.7
punjab_ludhiana,kharif,2023,764,27.6,21.1,36.1
punjab_ludhiana,rabi,2023,63,15.4,8.9,25.1
punjab_ludhiana,kharif,2024,925,25.1,21.9,32.9
punjab_ludhiana,rabi,2024,70,15.7,7.8,24.2
